sample	chr	startpos	endpos	nMajor	nMinor
TCGA-05-4250-01A-01D-1877-01	2	146106836	146109366	0	0
TCGA-05-4250-01A-01D-1877-01	2	146120238	167974699	5	0
TCGA-05-4250-01A-01D-1877-01	2	167976209	168173254	4	0
TCGA-05-4250-01A-01D-1877-01	2	168173993	242147305	5	0
TCGA-05-4250-01A-01D-1877-01	3	18667	60045792	2	1
TCGA-05-4250-01A-01D-1877-01	3	60045805	60164638	2	0
TCGA-05-4250-01A-01D-1877-01	3	60165546	98882823	2	1
TCGA-05-4250-01A-01D-1877-01	3	98885264	99016648	1	1
TCGA-05-4250-01A-01D-1877-01	3	99018108	108973203	2	1
TCGA-05-4250-01A-01D-1877-01	3	108974142	108982977	5	4
TCGA-05-4250-01A-01D-1877-01	3	108983566	114890871	2	1
TCGA-05-4250-01A-01D-1877-01	3	114890892	147872218	3	1
TCGA-05-4250-01A-01D-1877-01	3	147873145	147892751	8	3
TCGA-05-4250-01A-01D-1877-01	3	147893654	162822702	3	1
TCGA-05-4250-01A-01D-1877-01	3	162827928	162829254	17	0
TCGA-05-4250-01A-01D-1877-01	3	162829721	162910826	12	0
TCGA-05-4250-01A-01D-1877-01	3	162910855	163438973	5	0
TCGA-05-4250-01A-01D-1877-01	3	163439545	193157390	2	1
TCGA-05-4250-01A-01D-1877-01	3	193160113	193168646	19	0
TCGA-05-4250-01A-01D-1877-01	3	193168669	198169247	2	1
TCGA-05-4250-01A-01D-1877-01	4	12281	49016289	2	2
TCGA-05-4250-01A-01D-1877-01	4	49016304	190106768	2	1
TCGA-05-4250-01A-01D-1877-01	5	15532	181363319	2	1
TCGA-05-4250-01A-01D-1877-01	6	149661	260376	2	1
TCGA-05-4250-01A-01D-1877-01	6	264756	282706	1	0
TCGA-05-4250-01A-01D-1877-01	6	285695	379015	0	0
TCGA-05-4250-01A-01D-1877-01	6	380821	60354473	2	1
TCGA-05-4250-01A-01D-1877-01	6	60355929	164320809	2	0
TCGA-05-4250-01A-01D-1877-01	6	164321018	170741917	2	1
TCGA-05-4250-01A-01D-1877-01	7	43259	18779052	2	2
TCGA-05-4250-01A-01D-1877-01	7	18779183	18790841	5	5
TCGA-05-4250-01A-01D-1877-01	7	18790866	110387667	2	2
TCGA-05-4250-01A-01D-1877-01	7	110387755	110593516	2	0
TCGA-05-4250-01A-01D-1877-01	7	110593887	111225797	2	1
TCGA-05-4250-01A-01D-1877-01	7	111227146	159334314	2	2
TCGA-05-4250-01A-01D-1877-01	8	81254	18060357	2	2
TCGA-05-4250-01A-01D-1877-01	8	18060379	18074195	4	4
TCGA-05-4250-01A-01D-1877-01	8	18075949	103912131	2	2
TCGA-05-4250-01A-01D-1877-01	8	103912268	104377192	3	2
TCGA-05-4250-01A-01D-1877-01	8	104380375	145072769	2	2
TCGA-05-4250-01A-01D-1877-01	9	46431	138287976	2	0
TCGA-05-4250-01A-01D-1877-01	10	26823	51114191	2	1
TCGA-05-4250-01A-01D-1877-01	10	51114740	51132965	1	0
TCGA-05-4250-01A-01D-1877-01	10	51135919	65548272	2	2
TCGA-05-4250-01A-01D-1877-01	10	65548833	65554672	0	0
TCGA-05-4250-01A-01D-1877-01	10	65554688	93835586	2	1
TCGA-05-4250-01A-01D-1877-01	10	93836168	94046602	3	2
TCGA-05-4250-01A-01D-1877-01	10	94047224	129507572	2	1
TCGA-05-4250-01A-01D-1877-01	10	129508151	130433332	1	1
TCGA-05-4250-01A-01D-1877-01	10	130435378	133769379	2	1
TCGA-05-4250-01A-01D-1877-01	11	198510	91870529	3	0
TCGA-05-4250-01A-01D-1877-01	11	91870882	91879873	7	2
TCGA-05-4250-01A-01D-1877-01	11	91880091	135074876	3	0
TCGA-05-4250-01A-01D-1877-01	12	51460	14676042	2	0
TCGA-05-4250-01A-01D-1877-01	12	14676618	16193675	4	3
TCGA-05-4250-01A-01D-1877-01	12	16196660	16438662	10	3
TCGA-05-4250-01A-01D-1877-01	12	16440416	17618855	4	3
TCGA-05-4250-01A-01D-1877-01	12	17622469	18994532	6	2
TCGA-05-4250-01A-01D-1877-01	12	18995080	27585501	11	2
TCGA-05-4250-01A-01D-1877-01	12	27585671	27692636	6	2
TCGA-05-4250-01A-01D-1877-01	12	27692991	28599421	12	2
TCGA-05-4250-01A-01D-1877-01	12	28599502	28983846	7	3
TCGA-05-4250-01A-01D-1877-01	12	28984166	29677354	2	0
TCGA-05-4250-01A-01D-1877-01	12	29677719	29833065	6	3
TCGA-05-4250-01A-01D-1877-01	12	29841251	30945759	2	0
TCGA-05-4250-01A-01D-1877-01	12	30946406	31152268	6	2
TCGA-05-4250-01A-01D-1877-01	12	31153294	31258280	2	0
TCGA-05-4250-01A-01D-1877-01	12	31258820	31558422	6	2
TCGA-05-4250-01A-01D-1877-01	12	31559167	31724355	11	2
TCGA-05-4250-01A-01D-1877-01	12	31726000	32600285	6	2
TCGA-05-4250-01A-01D-1877-01	12	32609928	32918356	2	0
TCGA-05-4250-01A-01D-1877-01	12	32918670	32970956	7	2
TCGA-05-4250-01A-01D-1877-01	12	32971116	32997638	9	0
TCGA-05-4250-01A-01D-1877-01	12	32997689	33068071	12	0
TCGA-05-4250-01A-01D-1877-01	12	33068557	52128111	2	0
TCGA-05-4250-01A-01D-1877-01	12	52128294	53118147	6	2
TCGA-05-4250-01A-01D-1877-01	12	53118660	53867976	2	1
TCGA-05-4250-01A-01D-1877-01	12	53867988	53893394	1	0
TCGA-05-4250-01A-01D-1877-01	12	53893586	117142639	2	1
TCGA-05-4250-01A-01D-1877-01	12	117142908	117753863	2	2
TCGA-05-4250-01A-01D-1877-01	12	117754130	133201603	2	1
TCGA-05-4250-01A-01D-1877-01	13	18452809	18795296	5	1
TCGA-05-4250-01A-01D-1877-01	13	18795400	81844073	2	0
TCGA-05-4250-01A-01D-1877-01	13	81850296	81911232	4	1
TCGA-05-4250-01A-01D-1877-01	13	81911399	114342922	2	0
TCGA-05-4250-01A-01D-1877-01	14	18225647	106877229	2	1
TCGA-05-4250-01A-01D-1877-01	15	19811075	101928837	2	1
TCGA-05-4250-01A-01D-1877-01	16	10777	13689126	2	1
TCGA-05-4250-01A-01D-1877-01	16	13689533	13708522	4	3
TCGA-05-4250-01A-01D-1877-01	16	13708875	90221127	2	1
TCGA-05-4250-01A-01D-1877-01	17	150733	3363511	3	0
TCGA-05-4250-01A-01D-1877-01	17	3365801	6124864	3	3
TCGA-05-4250-01A-01D-1877-01	17	6126627	7499666	3	0
TCGA-05-4250-01A-01D-1877-01	17	7501672	19261769	2	0
TCGA-05-4250-01A-01D-1877-01	17	19261855	22720241	2	2
TCGA-05-4250-01A-01D-1877-01	17	22727748	41266762	4	2
TCGA-05-4250-01A-01D-1877-01	17	41266774	41274279	0	0
TCGA-05-4250-01A-01D-1877-01	17	41276472	66943675	4	2
TCGA-05-4250-01A-01D-1877-01	17	66944580	73061483	5	2
TCGA-05-4250-01A-01D-1877-01	17	73062575	83091923	4	2
TCGA-05-4250-01A-01D-1877-01	18	11543	80257174	2	0
TCGA-05-4250-01A-01D-1877-01	19	90910	24400510	2	0
TCGA-05-4250-01A-01D-1877-01	19	24413948	30782216	3	3
TCGA-05-4250-01A-01D-1877-01	19	30782474	33266685	4	1
TCGA-05-4250-01A-01D-1877-01	19	33271351	33278637	12	3
TCGA-05-4250-01A-01D-1877-01	19	33284962	36267829	5	1
TCGA-05-4250-01A-01D-1877-01	19	36267995	41613356	4	1
TCGA-05-4250-01A-01D-1877-01	19	41614422	44869072	5	1
TCGA-05-4250-01A-01D-1877-01	19	44869097	45901004	6	1
TCGA-05-4250-01A-01D-1877-01	19	45903347	58586487	1	1
TCGA-05-4250-01A-01D-1877-01	20	80664	2000694	4	1
TCGA-05-4250-01A-01D-1877-01	20	2000733	14923478	5	0
TCGA-05-4250-01A-01D-1877-01	20	14923524	15113320	3	0
TCGA-05-4250-01A-01D-1877-01	20	15114622	26324943	5	0
TCGA-05-4250-01A-01D-1877-01	20	30185676	30258517	0	0
TCGA-05-4250-01A-01D-1877-01	20	30259177	30293217	1	0
TCGA-05-4250-01A-01D-1877-01	20	30295149	32944823	4	0
TCGA-05-4250-01A-01D-1877-01	20	32945534	36859432	4	1
TCGA-05-4250-01A-01D-1877-01	20	36859681	54212819	4	0
TCGA-05-4250-01A-01D-1877-01	20	54214923	56440190	5	2
TCGA-05-4250-01A-01D-1877-01	20	56442244	58709977	4	3
TCGA-05-4250-01A-01D-1877-01	20	58719097	60700970	4	0
TCGA-05-4250-01A-01D-1877-01	20	60702033	62074466	4	3
TCGA-05-4250-01A-01D-1877-01	20	62074878	63403750	4	0
TCGA-05-4250-01A-01D-1877-01	20	63413016	64054566	7	2
TCGA-05-4250-01A-01D-1877-01	20	64055199	64324800	8	0
TCGA-05-4250-01A-01D-1877-01	21	10336543	13920527	1	0
TCGA-05-4250-01A-01D-1877-01	21	13920914	46677045	2	1
TCGA-05-4250-01A-01D-1877-01	22	15294545	28683236	2	0
TCGA-05-4250-01A-01D-1877-01	22	28686640	50796027	3	0
TCGA-05-4250-01A-01D-1877-01	23	251810	66404821	2	0
TCGA-05-4250-01A-01D-1877-01	23	66405449	66426419	4	1
TCGA-05-4250-01A-01D-1877-01	23	66429763	156024517	2	0
TCGA-05-4250-01A-01D-1877-01	24	312875	26653788	0	0
TCGA-05-4250-01A-01D-1877-01	24	56821718	56886662	1	0
